Stamm	Man	Nig	GlcUA	Lam	GlcN	GalUA	Rib	Rha	Ism	Gen	Koj	GalN	GlcNAc	Mal	Lac	Cel	Sop	Glc	GalNAc	Gal	Ara	Xyl	Fuc	2-d-Glc	2-d-Rib	Summe	Summe ohne Xylose
Xyl1.C1	6.09	n	30.44	n	0.00	0.00	0.00	127.22	n	0.00	n	0.00	0.00	n	0.00	n	n	16.40	0.00	117.70	n	2.31	1.40	0.00	0.00	301.57	299.25
Xyl1.C2	3.92	n	4.04	n	2.30	0.00	0.00	2.14	n	0.00	n	0.00	0.00	n	0.00	n	n	3.54	0.00	1.47	n	15.95	0.00	0.00	0.00	33.35	17.41
Xyl1.C3	5.24	n	5.16	n	2.68	0.00	0.00	2.85	n	0.00	n	0.00	0.00	n	0.00	n	n	11.72	0.00	1.69	n	7.06	0.00	0.00	0.00	36.41	29.34
Xyl1.C4	6.78	n	0.00	n	0.00	0.00	0.00	101.85	n	0.00	n	0.00	0.00	n	0.00	n	n	57.00	0.00	3.85	n	2.67	0.00	0.00	0.00	172.15	169.48
Xyl1.C5	0.00	n	23.64	n	0.00	0.00	0.00	123.98	n	0.00	n	0.00	0.00	n	0.00	n	n	51.07	0.00	2.99	n	2.39	0.00	0.00	0.00	204.07	201.68
Xyl1.C6	0.00	n	0.00	n	2.38	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	3.54	0.00	1.17	n	26.84	0.00	0.00	0.00	33.93	7.09
Xyl1.C7	0.00	n	0.00	n	3.60	8.98	0.00	3.55	n	0.00	n	0.00	0.00	n	0.00	n	n	7.21	0.00	3.16	n	7.69	3.32	0.00	0.00	37.51	29.82
Xyl1.C8	12.51	n	0.00	n	2.34	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	4.23	0.00	3.32	n	16.91	0.16	0.00	0.00	39.47	22.56
Xyl1.C9	3.50	n	4.62	n	2.66	0.00	0.00	13.82	n	0.00	n	0.00	0.00	n	0.00	n	n	5.04	0.00	11.86	n	39.34	0.00	0.00	0.00	80.84	41.49
Xyl1.C10	6.90	n	0.00	n	3.12	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	10.27	0.00	5.59	n	33.73	0.00	0.00	0.00	59.60	25.88
Xyl1.C11	5.85	n	0.00	n	2.50	0.00	0.00	0.00	n	0.00	n	0.00	0.00	n	0.00	n	n	6.56	0.00	1.15	n	35.43	0.00	1.09	0.00	52.58	17.16
